Sourceid,Targetid,Weights
0,1,7201.553157117977
0,2,4.181
0,3,2.425
0,4,6.829
0,5,10.575
0,6,8.412
0,7,15604.767152500024
0,8,4.918
0,9,13.196
0,10,4.663
0,11,3.961
0,12,3.364
0,13,32.135
0,14,4.051
0,15,865.4849999999999
0,17,7.508
0,18,103.29600000000002
0,19,11.648
0,21,2.348
0,23,5.12
0,24,7.135
0,25,0.016
0,26,18.19
0,27,10.661
0,28,8171.290365900001
0,29,107.78332570000003
0,30,12.841
0,31,3536.9311782800005
0,32,117.642
0,33,17.031
0,34,7.573
0,35,1.376
0,36,6401.371087
0,37,3.214
0,38,9481.731216500011
0,39,0.137
0,44,11.355
0,46,3.207
0,47,9.13
0,50,359.97099999999995
0,51,2.509
0,52,189.738
0,53,0.245
0,55,18.111
0,56,5385.726000000001
0,59,8.68
0,60,11.454
0,61,15.313
0,63,3.101
0,64,23.069
0,65,3.298
0,66,2435.704992
0,67,6.722
0,69,21.818
0,70,12.207
0,71,2.813
0,72,7.361
0,73,5292.816071199999
0,74,1710.439631
0,75,11.751
0,78,2808.597892227998
0,80,17.321
0,82,7.89
0,83,11.083
0,86,2043.991920000001
0,87,13.144
0,88,22.78
0,89,1835.6330000000005
0,90,217.969
0,91,4010.9066912000017
0,92,1.621
0,93,499.0901595
0,95,6080.995839143
0,96,12.25
0,97,4.036
0,99,6.116
0,100,1.725
0,101,5.979
0,102,1382.128905277
0,103,896.936
0,104,1334.137576627002
0,105,32.163
0,106,36.306
0,110,5.486
0,111,1.326
0,112,4.544
0,113,373.4320869
0,114,31.946
0,115,3.807
0,119,760.0600000000001
0,120,36.076
0,121,528.64
0,123,5.387
0,126,7.442
0,127,1083.6684369999998
0,128,392.3910000000001
0,129,43.159
0,132,9.419
0,133,17.209
0,134,241.658
0,135,7.159
0,136,925.855
0,141,4.555
0,142,0.956
0,143,68.73896129
0,150,417.912
0,153,47.248
0,154,20.716
0,159,13.174
0,163,1.49
0,165,6.933
0,166,0.014
0,168,10.516
0,173,8.378
0,175,13.77
0,176,28.473
0,177,1461.4968360000005
0,178,434.413
0,182,17.651
0,183,0.446
0,184,167.73
0,185,3.984
0,188,10305.814579850006
0,189,595.3159999999999
0,190,5063.348747050002
0,191,1798.6450783700002
0,193,15.722
0,195,6.718
0,200,2534.7254365539934
0,201,6.891
0,202,22.047
0,203,4.413
0,205,0.624
0,207,554.9954065000001
0,208,127.525
0,209,301.9725824
0,211,3.656
0,213,1.371
0,221,466.436
0,225,147.9797272
0,226,12.05
0,231,625.176
0,232,7.696
0,234,1.052
0,235,4.588
0,237,0.566
0,238,149.6233652
0,240,6.173
0,244,5.14
0,248,200.1116218
0,249,716.0545899
0,257,218.274
0,258,488.7380737
0,260,2.87
0,262,1744.8854299999994
0,263,324.288
0,265,8.569
0,266,0.201
0,269,0.814
0,275,2.898
0,278,23.124
0,280,5.935
0,287,163.3077061
0,295,5.791
0,296,1536.3342629999995
0,299,440.9129999999972
0,300,109.742
0,303,2.663
0,308,228.392
0,309,82.10900000000001
0,318,617.2846135000001
0,319,721.7520000000001
0,324,758.7045280000001
0,331,1.481
0,333,85.51799999999999
0,339,84.863
0,349,0.604594909
0,352,20.342
0,357,116.689
0,359,17.382
0,361,35.694
0,362,45.993
0,363,36.6
0,369,50.893
0,380,0.217
0,381,37.92
0,382,32.791
0,385,32.047
0,395,10.9677144
0,403,25.93192762
0,406,52.644
0,412,62.861
0,419,50.225
0,425,2.781
0,426,66.046
0,433,18.41596092
0,443,46.81
0,452,94.267
0,457,0.362756945
0,465,213.456
0,466,110.321
0,469,65.557
0,471,18.479
0,475,22.009
0,478,1.685
0,486,5.316
0,490,3.104
0,491,37.0
0,493,0.762
0,494,0.596
0,499,6.736
0,523,45.25
0,525,4.0
0,526,1.25
0,527,42.184
0,530,29.561
0,531,5.88
0,534,18.45
0,535,172.421
0,549,4.96
0,562,91.399
0,565,119.631
0,568,121.801
0,569,13.998
0,592,31.007
0,593,19.276
0,598,15.874
0,600,35.81
0,605,9.956
0,613,25.744
0,619,11.988
0,628,32.53
0,629,30.035
0,633,19.922
0,636,55.0
0,657,34.098
0,659,16.824
0,669,2.536
0,679,6.966
0,685,62.896
0,690,25.862
0,691,24.997
0,696,9.117
0,702,5.0
0,713,1.173
0,720,79.608
0,721,23.378
0,739,1.626
0,740,11.763
0,741,22.704
0,743,20.697
0,744,0.488
0,777,18.834
0,780,0.361
0,785,2.9
0,786,39.948
0,796,2.975
0,797,13.066
0,804,9.23
0,807,0.89
0,819,14.783
0,839,39.728
